Date,Open,High,Low,Close,Volume,Adj Close
2013-02-14,9950.00,10050.00,9800.00,9900.00,68600,9900.00
2013-02-13,9750.00,10000.00,9750.00,9950.00,92000,9950.00
2013-02-12,9810.00,9900.00,9700.00,9830.00,36900,9830.00
2013-02-11,9880.00,9880.00,9880.00,9880.00,000,9880.00
2013-02-08,9800.00,9910.00,9570.00,9880.00,78900,9880.00
2013-02-07,9900.00,9950.00,9670.00,9740.00,44600,9740.00
2013-02-06,9720.00,9840.00,9450.00,9790.00,125900,9790.00
2013-02-05,9720.00,9890.00,9560.00,9720.00,136300,9720.00
2013-02-04,9560.00,9900.00,9520.00,9800.00,275000,9800.00
2013-02-01,9460.00,9600.00,9310.00,9520.00,123400,9520.00
2013-01-31,9570.00,9630.00,9200.00,9540.00,1128700,9540.00
2013-01-30,9410.00,9480.00,9370.00,9370.00,181400,9370.00
2013-01-29,9410.00,9500.00,9350.00,9490.00,61300,9490.00
2013-01-28,9460.00,9540.00,9350.00,9500.00,53200,9500.00
